component,explained_variance_ratio,cumulative_variance
PC1,0.11209964923108898,0.11209964923108898
PC2,0.09459608689737926,0.20669573612846825
PC3,0.07350213606358952,0.2801978721920578
PC4,0.054601467715422694,0.33479933990748045
PC5,0.04098134020748329,0.37578068011496374
PC6,0.03540080734818969,0.4111814874631534
PC7,0.02919996225657227,0.4403814497197257
PC8,0.026796179105617116,0.4671776288253428
PC9,0.024760208323482184,0.491937837148825
PC10,0.022599636700097632,0.5145374738489227
PC11,0.02022098338753558,0.5347584572364582
PC12,0.01853017099169603,0.5532886282281543
PC13,0.01781289425292124,0.5711015224810755
PC14,0.016504316452409917,0.5876058389334854
PC15,0.016017670926278434,0.6036235098597639
PC16,0.015463362190663932,0.6190868720504278
PC17,0.014537016863702835,0.6336238889141306
PC18,0.013561493148715575,0.6471853820628461
PC19,0.012470201580791377,0.6596555836436375
PC20,0.011898442310196523,0.6715540259538341
PC21,0.011833353914071325,0.6833873798679054
PC22,0.01102347191742187,0.6944108517853274
PC23,0.01072146586004723,0.7051323176453745
PC24,0.010393311609484266,0.7155256292548589
PC25,0.010003061504832345,0.7255286907596912
PC26,0.009811602388370106,0.7353402931480613
PC27,0.009186013438259956,0.7445263065863212
PC28,0.008959398104216174,0.7534857046905374
PC29,0.008549487853906345,0.7620351925444437
PC30,0.008480110314424251,0.770515302858868
PC31,0.008270438944015369,0.7787857418028834
PC32,0.008063705707499797,0.7868494475103832
PC33,0.007843093598357043,0.7946925411087402
PC34,0.0076091976287317965,0.802301738737472
PC35,0.007403316804657085,0.8097050555421291
PC36,0.0071538987737822645,0.8168589543159114
PC37,0.006979746688720737,0.8238387010046321
PC38,0.006625091980350957,0.8304637929849831
PC39,0.006515556345564044,0.8369793493305471
PC40,0.006268100146700285,0.8432474494772474
PC41,0.006211907278952344,0.8494593567561998
PC42,0.005985380008468655,0.8554447367646685
PC43,0.005856468971745055,0.8613012057364136
PC44,0.005787167496486289,0.8670883732328999
PC45,0.0057397385707315,0.8728281118036314
PC46,0.005559287659838374,0.8783873994634698
PC47,0.005342533568797278,0.8837299330322671
PC48,0.005244669290782305,0.8889746023230494
PC49,0.005186684311555221,0.8941612866346046
PC50,0.004867941892924546,0.8990292285275291
PC51,0.0047520555871948846,0.903781284114724
PC52,0.004557280766535504,0.9083385648812595
PC53,0.004515574559855134,0.9128541394411147
PC54,0.004280708171484914,0.9171348476125997
PC55,0.004153035838081437,0.9212878834506811
PC56,0.004009126571909494,0.9252970100225906
PC57,0.003968406191005756,0.9292654162135964
PC58,0.0037854893930838493,0.9330509056066802
PC59,0.003755933374824054,0.9368068389815043
PC60,0.0036484449546398483,0.9404552839361442
PC61,0.0035775300512155663,0.9440328139873597
PC62,0.0033844522685311774,0.9474172662558908
PC63,0.0032542036236105462,0.9506714698795014
